Category,Item,Station,Value,ValueType
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,573,"10,949",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,672,"8,211",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,673,"10,767",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,675,1,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,581,"3,527",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,596A4,"4,431",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,603,"4,271",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,614,"4,465",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,621,"4,101",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,626,"7,072",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,538,"1,635",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,539,"5,446",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,541,"8,872",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,552,"4,041",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,506,"4,964",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,515,535,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,550,769,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,553,"3,946",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,583,"7,094",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,610,"1,027",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,655,481,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,537,"6,022",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,556,"1,461",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,578,"7,216",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,585,720,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,607,"4,190",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,676,483,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,695,"6,096",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,589,"4,314",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,589A4,"3,512",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,589A5,"2,224",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,589A7,"2,111",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,657,"6,457",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,657A4,546,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,657A5,"1,786",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,502,957,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,520,"1,509",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,564,"2,783",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,580,"11,134",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,586,"4,019",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,598,"7,914",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,623,"3,304",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,629,3,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,635,"4,746",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,667,"4,251",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,549,"8,578",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,671,"7,631",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,674,"5,845",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,501,"5,007",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,504,"1,779",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,519,1,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,644,"4,164",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,649,915,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,678,"6,721",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,436,"1,593",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,442,991,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,554,"4,483",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,575,"1,236",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,660,"4,084",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,666,389,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,463,2,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,531,"2,483",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,648,"8,963",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,653,610,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,663,"6,104",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,668,"1,051",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,687,1,Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,570,"2,684",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,612A4,"3,646",Number
Non-MH Service Usage with Mental Illness Diagnosis,Total Non-Mental Health Services Rendered to All VHA Users - Inpatient Stays,640,"5,321",Number
